all_finite,candidate_id,candidate_ids_json,component,instability_penalty,layer,layers_json,localization_proxy,mean_abs_corruption_margin,mean_decoded_support_delta,mean_margin_distance_recovery,mean_target_margin_delta,mean_target_probability_delta,num_edits,num_prompt_types,num_rows,num_seeds,num_state_labels,pilot_acceptance_status,policy_id,position,positive_recovery_fraction,prompt_type,prompt_type_std,seed_std,selection_source,site_score,source_table,stability_score,state_label,state_label_std,target_role,weighted_margin_distance_recovery
True,L03:hidden:last_subject,,hidden,,3,,,3.0776808063189187,0.0,0.19475583563388724,0.2636074622472127,0.00020669037387814151,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.2316313134031974,causal_trace_summary.csv,,,,target_new,0.2316313134031974
True,L02:hidden:last_subject,,hidden,,2,,,3.0776808063189187,0.0,0.1325144724656105,0.7331097920735677,0.0013823938285829247,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.22442240585435383,causal_trace_summary.csv,,,,target_new,0.22442240585435383
True,L09:hidden:last_subject,,hidden,,9,,,3.0776808063189187,0.0,0.19324093929899033,0.19544474283854166,4.3958905571036176e-05,12,,12,,,,,last_subject,0.75,,,,,0.22431126658758882,causal_trace_summary.csv,,,,target_new,0.22431126658758882
True,L27:attention:first_answer_mask,,attention,,27,,,3.0776808063189187,0.0,0.17385424962456555,0.554670532544454,0.00033272748443498773,12,,12,,,,,first_answer_mask,0.75,,,,,0.2204286870563108,causal_trace_summary.csv,,,,target_new,0.2204286870563108
True,L10:hidden:first_subject,,hidden,,10,,,3.0776808063189187,0.0,0.2729455268190521,-0.19445884227752686,0.0005325808126966555,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.21967867776188937,causal_trace_summary.csv,,,,target_new,0.21967867776188937
True,L08:hidden:last_subject,,hidden,,8,,,3.0776808063189187,0.0,0.28185176126656736,0.18020967642466226,0.00040059318946195077,12,,12,,,,,last_subject,0.9166666666666666,,,,,0.21778117619597545,causal_trace_summary.csv,,,,target_new,0.21778117619597545
True,L12:hidden:last_subject,,hidden,,12,,,3.0776808063189187,0.0,0.21740325584344602,0.7512563069661459,0.0004999888609435269,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.21678354376060535,causal_trace_summary.csv,,,,target_new,0.21678354376060535
True,L01:hidden:last_subject,,hidden,,1,,,3.0776808063189187,0.0,0.1500036346333687,0.6931491295496622,0.0007256530045249102,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.2162541474600517,causal_trace_summary.csv,,,,target_new,0.2162541474600517
True,L18:hidden:last_subject,,hidden,,18,,,3.0776808063189187,0.0,0.13025895044693592,0.2950185139973958,-0.00021796285297526197,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.20960783080456533,causal_trace_summary.csv,,,,target_new,0.20960783080456533
True,L13:hidden:last_subject,,hidden,,13,,,3.0776808063189187,0.0,0.24251505489198705,0.629625121752421,0.00023468221749508208,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.2095026177603195,causal_trace_summary.csv,,,,target_new,0.2095026177603195
True,L10:hidden:last_subject,,hidden,,10,,,4.539591471354167,0.0,0.19365653435829625,1.219482421875,0.0003882876416128056,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.20619369874064447,causal_trace_summary.csv,,,,target_true,0.20619369874064447
True,L24:hidden:first_answer_mask,,hidden,,24,,,3.0776808063189187,0.0,0.16474457847312993,0.08031209309895833,-0.00020432076093849597,12,,12,,,,,first_answer_mask,0.75,,,,,0.1973337589196024,causal_trace_summary.csv,,,,target_new,0.1973337589196024
True,L20:hidden:first_subject,,hidden,,20,,,3.0776808063189187,0.0,0.18793209958855198,-0.23072306315104166,-0.000514700752124971,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.19711561195732755,causal_trace_summary.csv,,,,target_new,0.19711561195732755
True,L11:hidden:last_subject,,hidden,,11,,,3.0776808063189187,0.0,0.15132498809064152,0.08942159016927083,-0.00031925459767023767,12,,12,,,,,last_subject,0.75,,,,,0.1969387807076048,causal_trace_summary.csv,,,,target_new,0.1969387807076048
True,L12:hidden:first_subject,,hidden,,12,,,4.539591471354167,0.08333333333333333,0.17059443519129971,1.3647867838541667,0.07587140142871363,12,,12,,,,,first_subject,0.8333333333333334,,,,,0.1965042800161341,causal_trace_summary.csv,,,,target_true,0.1965042800161341
True,L30:attention:first_answer_mask,,attention,,30,,,3.0776808063189187,0.0,0.12868999333122194,0.2539452314376831,-6.829565193378073e-06,12,,12,,,,,first_answer_mask,0.75,,,,,0.19589211168589946,causal_trace_summary.csv,,,,target_new,0.19589211168589946
True,L17:hidden:first_subject,,hidden,,17,,,4.539591471354167,0.08333333333333333,0.14879723729838407,1.295969009399414,0.07234863289982248,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.1940369683592524,causal_trace_summary.csv,,,,target_true,0.1940369683592524
True,L00:hidden:first_subject,,hidden,,0,,,4.539591471354167,0.08333333333333333,0.12713599456134167,1.0694376627604167,0.07737423905104872,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.19167749742302692,causal_trace_summary.csv,,,,target_true,0.19167749742302692
True,L09:hidden:first_subject,,hidden,,9,,,3.0776808063189187,0.0,0.18641788052736438,-0.46452585856119794,0.0001640160659436655,12,,12,,,,,first_subject,0.4166666666666667,,,,,0.19077695533759206,causal_trace_summary.csv,,,,target_new,0.19077695533759206
True,L31:attention:first_answer_mask,,attention,,31,,,3.0776808063189187,0.0,0.19138590909075678,0.3718092044194539,0.00024857160477450196,12,,12,,,,,first_answer_mask,0.8333333333333334,,,,,0.1892997765910944,causal_trace_summary.csv,,,,target_new,0.1892997765910944
True,L01:hidden:first_subject,,hidden,,1,,,4.539591471354167,0.08333333333333333,0.12219150939886032,1.3938395182291667,0.07903732622966686,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.1872719939048985,causal_trace_summary.csv,,,,target_true,0.1872719939048985
True,L15:hidden:first_answer_mask,,hidden,,15,,,3.0776808063189187,0.0,0.12719694244566201,-0.577348510424296,8.242312070845988e-05,12,,12,,,,,first_answer_mask,0.6666666666666666,,,,,0.18709186491231286,causal_trace_summary.csv,,,,target_new,0.18709186491231286
True,L23:hidden:first_answer_mask,,hidden,,23,,,3.0776808063189187,0.0,0.08500125189883988,-0.1160210371017456,-0.0002732217463498425,12,,12,,,,,first_answer_mask,0.6666666666666666,,,,,0.18438266452867322,causal_trace_summary.csv,,,,target_new,0.18438266452867322
